[27/Feb/2026 15:53:27] {'temperature': 25.48, 'altitude': 3.51, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.061, 'y': -0.04, 'x': -0.221}}
[27/Feb/2026 15:53:28] {'temperature': 25.47, 'altitude': 3.06, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.063, 'y': -0.032, 'x': -0.222}}
[27/Feb/2026 15:53:29] {'temperature': 25.53, 'altitude': 2.77, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.065, 'y': -0.032, 'x': -0.219}}
[27/Feb/2026 15:53:30] {'temperature': 25.64, 'altitude': 2.82, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.057, 'y': -0.035, 'x': -0.225}}
[27/Feb/2026 15:53:31] {'temperature': 25.71, 'altitude': 2.98, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.062, 'y': -0.026, 'x': -0.226}}
[27/Feb/2026 15:53:32] {'temperature': 25.81, 'altitude': 2.3, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.055, 'y': -0.029, 'x': -0.222}}
[27/Feb/2026 15:53:33] {'temperature': 25.88, 'altitude': 2.06, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.056, 'y': -0.03, 'x': -0.221}}
[27/Feb/2026 15:53:34] {'temperature': 25.97, 'altitude': 2.14, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.059, 'y': -0.04, 'x': -0.224}}
[27/Feb/2026 15:53:35] {'temperature': 26.04, 'altitude': 2.63, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40466, 'acceleration': {'z': 1.06, 'y': -0.037, 'x': -0.218}}
[27/Feb/2026 15:54:23] {'temperature': 24.31, 'altitude': 0.71, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.04, 'y': 0.125, 'x': -0.263}}
[27/Feb/2026 15:54:24] {'temperature': 24.3, 'altitude': 0.21, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40466, 'acceleration': {'z': 1.047, 'y': 0.127, 'x': -0.261}}
[27/Feb/2026 15:54:25] {'temperature': 24.31, 'altitude': 0.21, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40466, 'acceleration': {'z': 1.049, 'y': 0.133, 'x': -0.262}}
[27/Feb/2026 15:54:26] {'temperature': 24.3, 'altitude': 0.56, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40467, 'acceleration': {'z': 1.042, 'y': 0.13, 'x': -0.263}}
[27/Feb/2026 15:54:28] {'temperature': 24.28, 'altitude': -0.19, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40467, 'acceleration': {'z': 1.048, 'y': 0.13, 'x': -0.266}}
[27/Feb/2026 15:54:32] {'temperature': 24.18, 'altitude': -0.56, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40467, 'acceleration': {'z': 1.073, 'y': -0.003, 'x': -0.15}}
[27/Feb/2026 15:54:33] {'temperature': 24.16, 'altitude': -0.81, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.076, 'y': -0.016, 'x': -0.15}}
[27/Feb/2026 15:54:34] {'temperature': 24.13, 'altitude': -0.63, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.076, 'y': -0.014, 'x': -0.155}}
[27/Feb/2026 15:54:35] {'temperature': 24.13, 'altitude': -1.19, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40465, 'acceleration': {'z': 1.072, 'y': -0.011, 'x': -0.138}}
[27/Feb/2026 15:54:36] {'temperature': 24.1, 'altitude': -0.82, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.052, 'y': 0.055, 'x': -0.244}}
[27/Feb/2026 15:54:37] {'temperature': 24.11, 'altitude': -0.7, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.053, 'y': 0.049, 'x': -0.235}}
[27/Feb/2026 15:54:38] {'temperature': 24.15, 'altitude': -1.43, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.048, 'y': 0.05900001, 'x': -0.243}}
[27/Feb/2026 15:54:39] {'temperature': 24.16, 'altitude': -1.92, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.068, 'y': 0.051, 'x': -0.238}}
[27/Feb/2026 15:54:40] {'temperature': 24.17, 'altitude': -1.4, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.06, 'y': 0.053, 'x': -0.237}}
[27/Feb/2026 15:54:41] {'temperature': 24.19, 'altitude': -1.33, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.051, 'y': 0.05900001, 'x': -0.239}}
[27/Feb/2026 15:54:42] {'temperature': 24.21, 'altitude': -0.86, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.057, 'y': 0.054, 'x': -0.243}}
[27/Feb/2026 15:54:43] {'temperature': 24.22, 'altitude': -1.5, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.055, 'y': 0.054, 'x': -0.243}}
[27/Feb/2026 15:54:44] {'temperature': 24.23, 'altitude': -1.4, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.049, 'y': 0.056, 'x': -0.237}}
[27/Feb/2026 15:54:45] {'temperature': 24.24, 'altitude': -1.4, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.059, 'y': 0.052, 'x': -0.238}}
[27/Feb/2026 15:54:56] {'temperature': 23.89, 'altitude': 1.46, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40466, 'acceleration': {'z': 1.054, 'y': -0.081, 'x': -0.247}}
[27/Feb/2026 15:54:57] {'temperature': 23.85, 'altitude': 1.77, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40467, 'acceleration': {'z': 1.061, 'y': -0.084, 'x': -0.23}}
[27/Feb/2026 15:54:58] {'temperature': 23.78, 'altitude': 1.38, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40467, 'acceleration': {'z': 1.057, 'y': -0.084, 'x': -0.225}}
[27/Feb/2026 15:54:59] {'temperature': 23.72, 'altitude': 1.73, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40467, 'acceleration': {'z': 1.056, 'y': -0.08200001, 'x': -0.227}}
[27/Feb/2026 15:55:00] {'temperature': 23.66, 'altitude': 1.16, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40467, 'acceleration': {'z': 1.054, 'y': -0.084, 'x': -0.226}}
[27/Feb/2026 15:55:01] {'temperature': 23.62, 'altitude': 0.67, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40467, 'acceleration': {'z': 1.057, 'y': -0.084, 'x': -0.224}}
[27/Feb/2026 15:55:02] {'temperature': 23.56, 'altitude': 1.24, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40467, 'acceleration': {'z': 1.056, 'y': -0.088, 'x': -0.227}}
[27/Feb/2026 15:55:03] {'temperature': 23.51, 'altitude': 1.45, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40468, 'acceleration': {'z': 1.058, 'y': -0.085, 'x': -0.228}}
[27/Feb/2026 15:55:04] {'temperature': 23.51, 'altitude': 0.95, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40468, 'acceleration': {'z': 1.069, 'y': -0.083, 'x': -0.222}}
[27/Feb/2026 15:55:05] {'temperature': 23.48, 'altitude': 1.1, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40468, 'acceleration': {'z': 1.061, 'y': -0.084, 'x': -0.225}}
[27/Feb/2026 15:55:06] {'temperature': 23.41, 'altitude': 1.15, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40468, 'acceleration': {'z': 1.048, 'y': -0.081, 'x': -0.224}}
[27/Feb/2026 15:55:07] {'temperature': 23.38, 'altitude': 0.99, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40468, 'acceleration': {'z': 1.052, 'y': -0.086, 'x': -0.229}}
[27/Feb/2026 15:55:08] {'temperature': 23.35, 'altitude': 0.64, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40468, 'acceleration': {'z': 1.057, 'y': -0.086, 'x': -0.222}}
[27/Feb/2026 15:55:09] {'temperature': 23.29, 'altitude': 0.39, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40468, 'acceleration': {'z': 1.056, 'y': -0.088, 'x': -0.222}}
[27/Feb/2026 15:55:10] {'temperature': 23.29, 'altitude': 0.06, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40468, 'acceleration': {'z': 1.058, 'y': -0.084, 'x': -0.223}}
[27/Feb/2026 15:55:11] {'temperature': 23.21, 'altitude': 0.84, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40468, 'acceleration': {'z': 1.113, 'y': -0.155, 'x': -0.08200001}}
[27/Feb/2026 15:55:12] {'temperature': 23.23, 'altitude': 1.2, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40468, 'acceleration': {'z': 0.815, 'y': -0.499, 'x': 0.408}}
[27/Feb/2026 15:55:13] {'temperature': 23.21, 'altitude': 2.69, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40468, 'acceleration': {'z': 0.559, 'y': -0.738, 'x': -0.132}}
[27/Feb/2026 15:55:14] {'temperature': 23.17, 'altitude': 2.99, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40468, 'acceleration': {'z': 0.556, 'y': -0.889, 'x': 0.074}}
[27/Feb/2026 15:55:15] {'temperature': 23.18, 'altitude': 3.32, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40468, 'acceleration': {'z': 0.521, 'y': -0.87, 'x': 0.067}}
[27/Feb/2026 15:55:17] {'temperature': 23.19, 'altitude': 2.16, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40469, 'acceleration': {'z': 0.254, 'y': -0.969, 'x': 0.114}}
[27/Feb/2026 15:55:17] {'temperature': 23.2, 'altitude': 1.91, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40469, 'acceleration': {'z': -0.226, 'y': -0.9, 'x': 0.11}}
[27/Feb/2026 15:55:19] {'temperature': 23.27, 'altitude': -6.66, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40469, 'acceleration': {'z': -0.866, 'y': -0.261, 'x': 0.256}}
[27/Feb/2026 17:30:11] {'temperature': 20.05, 'altitude': 0.07, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': 0.009, 'x': 0.113}}
[27/Feb/2026 17:30:12] {'temperature': 20.06, 'altitude': 0.74, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.009, 'x': 0.116}}
[27/Feb/2026 17:30:13] {'temperature': 20.06, 'altitude': 1.11, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.006, 'x': 0.112}}
[27/Feb/2026 17:30:14] {'temperature': 20.06, 'altitude': 0.71, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.006, 'x': 0.116}}
[27/Feb/2026 17:30:15] {'temperature': 20.06, 'altitude': 0.15, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.003, 'x': 0.114}}
[27/Feb/2026 17:30:16] {'temperature': 20.06, 'altitude': 0.13, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': -0.008000001, 'x': 0.122}}
