[27/Dec/2025 19:38:24] {'temperature': 27.78, 'altitude': 2.89, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40486, 'acceleration': {'z': 1.092, 'y': -0.018, 'x': 0.048}}
[27/Dec/2025 19:38:25] {'temperature': 27.8, 'altitude': 2.96, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40486, 'acceleration': {'z': 1.091, 'y': -0.023, 'x': 0.052}}
[27/Dec/2025 19:38:27] {'temperature': 27.82, 'altitude': 3.25, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40486, 'acceleration': {'z': 1.088, 'y': -0.025, 'x': 0.055}}
[27/Dec/2025 19:38:29] {'temperature': 27.84, 'altitude': 3.34, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40486, 'acceleration': {'z': 1.082, 'y': -0.024, 'x': 0.058}}
[27/Dec/2025 19:38:30] {'temperature': 27.86, 'altitude': 3.02, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40486, 'acceleration': {'z': 1.09, 'y': -0.021, 'x': 0.06}}
[27/Dec/2025 19:38:32] {'temperature': 27.87, 'altitude': 3.31, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40485, 'acceleration': {'z': 1.089, 'y': -0.022, 'x': 0.051}}
[27/Dec/2025 19:38:33] {'temperature': 27.88, 'altitude': 3.28, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40485, 'acceleration': {'z': 1.09, 'y': -0.017, 'x': 0.058}}
[27/Dec/2025 19:38:35] {'temperature': 27.9, 'altitude': 2.82, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40485, 'acceleration': {'z': 1.092, 'y': -0.023, 'x': 0.062}}
[27/Dec/2025 19:38:36] {'temperature': 27.91, 'altitude': 3.09, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40485, 'acceleration': {'z': 1.084, 'y': -0.023, 'x': 0.06}}
[27/Dec/2025 19:38:38] {'temperature': 27.92, 'altitude': 3.24, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40485, 'acceleration': {'z': 1.091, 'y': -0.019, 'x': 0.057}}
[27/Dec/2025 19:38:40] {'temperature': 27.92, 'altitude': 2.65, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40485, 'acceleration': {'z': 1.089, 'y': -0.021, 'x': 0.055}}
[27/Dec/2025 19:38:41] {'temperature': 27.93, 'altitude': 3.16, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40485, 'acceleration': {'z': 1.09, 'y': -0.022, 'x': 0.061}}
