[18/Jan/2026 18:22:09] {'temperature': 28.1, 'altitude': 0.77, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40509, 'acceleration': {'z': 1.086, 'y': 0.007, 'x': 0.05}}
[18/Jan/2026 18:22:12] {'temperature': 28.1, 'altitude': 0.8, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40509, 'acceleration': {'z': 1.093, 'y': 0.003, 'x': 0.062}}
[18/Jan/2026 18:22:14] {'temperature': 28.09, 'altitude': 1.6, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40508, 'acceleration': {'z': 1.095, 'y': 0.009, 'x': 0.056}}
[18/Jan/2026 18:22:16] {'temperature': 28.09, 'altitude': 1.79, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40508, 'acceleration': {'z': 1.091, 'y': 0.01, 'x': 0.052}}
[18/Jan/2026 18:22:18] {'temperature': 28.08, 'altitude': 1.06, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40508, 'acceleration': {'z': 1.096, 'y': 0.007, 'x': 0.049}}
[18/Jan/2026 18:22:20] {'temperature': 28.1, 'altitude': 0.8, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40508, 'acceleration': {'z': 1.091, 'y': 0.006, 'x': 0.051}}
[18/Jan/2026 18:22:22] {'temperature': 28.11, 'altitude': 1.09, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40508, 'acceleration': {'z': 1.092, 'y': 0.011, 'x': 0.063}}
[18/Jan/2026 18:22:24] {'temperature': 28.13, 'altitude': 1.02, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40508, 'acceleration': {'z': 1.095, 'y': 0.005, 'x': 0.052}}
[18/Jan/2026 18:22:26] {'temperature': 28.18, 'altitude': 0.76, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40508, 'acceleration': {'z': 1.085, 'y': 0.004, 'x': 0.05}}
[18/Jan/2026 18:22:29] {'temperature': 28.18, 'altitude': 0.17, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40508, 'acceleration': {'z': 1.087, 'y': 0.008000001, 'x': 0.052}}
[18/Jan/2026 18:22:31] {'temperature': 28.23, 'altitude': 1.08, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40508, 'acceleration': {'z': 1.098, 'y': 0.005, 'x': 0.048}}
[18/Jan/2026 18:22:33] {'temperature': 28.28, 'altitude': 0.25, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40508, 'acceleration': {'z': 1.085, 'y': 0.004, 'x': 0.05}}
[18/Jan/2026 18:22:35] {'temperature': 28.28, 'altitude': 0.38, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40508, 'acceleration': {'z': 1.097, 'y': 0.012, 'x': 0.051}}
