[02/Jan/2026 18:01:39] {'temperature': 29.5, 'altitude': 2.93, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40496, 'acceleration': {'z': 1.095, 'y': 0.01, 'x': 0.029}}
[02/Jan/2026 18:01:41] {'temperature': 29.52, 'altitude': 3.18, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40496, 'acceleration': {'z': 1.08, 'y': 0.008000001, 'x': 0.041}}
[02/Jan/2026 18:01:43] {'temperature': 29.52, 'altitude': 2.78, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40496, 'acceleration': {'z': 1.109, 'y': 0.006, 'x': 0.036}}
[02/Jan/2026 18:01:45] {'temperature': 29.53, 'altitude': 2.95, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40497, 'acceleration': {'z': 1.086, 'y': 0.004, 'x': 0.04}}
[02/Jan/2026 18:01:46] {'temperature': 29.53, 'altitude': 3.53, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40497, 'acceleration': {'z': 1.085, 'y': 0.01, 'x': 0.035}}
[02/Jan/2026 18:01:48] {'temperature': 29.57, 'altitude': 2.77, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40497, 'acceleration': {'z': 1.088, 'y': 0.007, 'x': 0.033}}
[02/Jan/2026 18:01:50] {'temperature': 29.56, 'altitude': 2.58, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40497, 'acceleration': {'z': 1.095, 'y': 0.011, 'x': 0.03}}
[02/Jan/2026 18:01:52] {'temperature': 29.55, 'altitude': 3.24, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.076, 'y': -0.002, 'x': 0.037}}
[02/Jan/2026 18:01:54] {'temperature': 29.55, 'altitude': 3.05, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.089, 'y': 0.009, 'x': 0.034}}
[02/Jan/2026 18:01:56] {'temperature': 29.53, 'altitude': 3.16, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.083, 'y': 0.009, 'x': 0.039}}
[02/Jan/2026 18:01:58] {'temperature': 29.58, 'altitude': 3.29, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.09, 'y': 0.005, 'x': 0.038}}
[02/Jan/2026 18:02:00] {'temperature': 29.6, 'altitude': 3, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.096, 'y': 0.009, 'x': 0.042}}
[02/Jan/2026 18:02:02] {'temperature': 29.57, 'altitude': 3.31, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40496, 'acceleration': {'z': 1.093, 'y': 0.003, 'x': 0.043}}
[02/Jan/2026 18:02:10] {'temperature': 29.65, 'altitude': 3.53, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.092, 'y': 0.017, 'x': 0.032}}
[02/Jan/2026 18:02:12] {'temperature': 29.69, 'altitude': 2.36, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.097, 'y': 0.007, 'x': 0.038}}
[02/Jan/2026 18:02:15] {'temperature': 29.66, 'altitude': 2.13, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.091, 'y': 0.005, 'x': 0.028}}
[02/Jan/2026 18:02:17] {'temperature': 29.7, 'altitude': 2.85, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.092, 'y': 0.007, 'x': 0.039}}
[02/Jan/2026 18:02:19] {'temperature': 29.73, 'altitude': 2.52, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.093, 'y': 0.005, 'x': 0.039}}
[02/Jan/2026 18:02:21] {'temperature': 29.74, 'altitude': 2.69, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.092, 'y': 0.008000001, 'x': 0.045}}
[02/Jan/2026 18:02:23] {'temperature': 29.74, 'altitude': 2.47, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.088, 'y': 0.012, 'x': 0.044}}
[02/Jan/2026 18:02:25] {'temperature': 29.72, 'altitude': 2.22, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.091, 'y': 0.003, 'x': 0.038}}
[02/Jan/2026 18:02:27] {'temperature': 29.71, 'altitude': 2.62, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.098, 'y': 0.008000001, 'x': 0.03}}
[02/Jan/2026 18:02:29] {'temperature': 29.7, 'altitude': 2.84, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40497, 'acceleration': {'z': 1.094, 'y': 0.006, 'x': 0.035}}
[02/Jan/2026 18:02:30] {'temperature': 29.7, 'altitude': 2.51, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.101, 'y': 0.003, 'x': 0.04}}
[02/Jan/2026 18:02:32] {'temperature': 29.68, 'altitude': 1.83, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.103, 'y': 0.006, 'x': 0.037}}
[02/Jan/2026 18:02:34] {'temperature': 29.68, 'altitude': 2.39, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.087, 'y': 0.01, 'x': 0.033}}
[02/Jan/2026 18:02:36] {'temperature': 29.67, 'altitude': 2.26, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.09, 'y': 0.001, 'x': 0.041}}
[02/Jan/2026 18:02:38] {'temperature': 29.7, 'altitude': 2.13, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40497, 'acceleration': {'z': 1.085, 'y': -0.005, 'x': 0.03}}
[02/Jan/2026 18:02:40] {'temperature': 29.74, 'altitude': 2.52, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40496, 'acceleration': {'z': 1.092, 'y': -0.002, 'x': 0.033}}
[02/Jan/2026 18:02:42] {'temperature': 29.75, 'altitude': 2.1, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40496, 'acceleration': {'z': 1.095, 'y': 0.001, 'x': 0.036}}
[02/Jan/2026 18:02:44] {'temperature': 29.78, 'altitude': 2.27, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40496, 'acceleration': {'z': 1.094, 'y': 0.007, 'x': 0.039}}
[02/Jan/2026 18:02:51] {'temperature': 29.75, 'altitude': 2.08, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.092, 'y': 0.009, 'x': 0.042}}
[02/Jan/2026 18:02:53] {'temperature': 29.71, 'altitude': 2.25, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.102, 'y': 0.007, 'x': 0.036}}
[02/Jan/2026 18:02:55] {'temperature': 29.74, 'altitude': 1.94, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.092, 'y': 0.006, 'x': 0.036}}
[02/Jan/2026 18:02:57] {'temperature': 29.75, 'altitude': 2.26, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.09, 'y': 0.007, 'x': 0.033}}
[02/Jan/2026 18:02:59] {'temperature': 29.74, 'altitude': 2.1, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.077, 'y': 0.005, 'x': 0.039}}
[02/Jan/2026 18:03:01] {'temperature': 29.76, 'altitude': 2, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.091, 'y': 0.003, 'x': 0.038}}
[02/Jan/2026 18:03:03] {'temperature': 29.75, 'altitude': 1.47, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.094, 'y': 0.012, 'x': 0.036}}
[02/Jan/2026 18:03:05] {'temperature': 29.72, 'altitude': 1.64, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.092, 'y': 0, 'x': 0.03}}
[02/Jan/2026 18:03:07] {'temperature': 29.73, 'altitude': 1.42, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40495, 'acceleration': {'z': 1.097, 'y': 0.003, 'x': 0.033}}
[02/Jan/2026 18:03:09] {'temperature': 29.71, 'altitude': 2.22, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40494, 'acceleration': {'z': 1.089, 'y': 0.007, 'x': 0.036}}
[02/Jan/2026 18:03:11] {'temperature': 29.75, 'altitude': 2.06, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40494, 'acceleration': {'z': 1.095, 'y': 0.004, 'x': 0.034}}
