[23/Nov/2024 12:11:28] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.1, 'pressure': 99614.9, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.2, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:29] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.1, 'pressure': 99615.7, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.1, 'temperature': 23.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:29] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.4, 'pressure': 99618.3, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:30] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.5, 'pressure': 99620.2, 'x_rotation': 0.4, 'y_rotation': 1, 'z_rotation': 0.9, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:31] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.6, 'pressure': 99620.1, 'x_rotation': 0.1, 'y_rotation': 1, 'z_rotation': 0.5, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:31] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.7, 'pressure': 99622.7, 'x_rotation': 0.1, 'y_rotation': 0.9, 'z_rotation': 0.7, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:32] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.8, 'pressure': 99623.9, 'x_rotation': 0.1, 'y_rotation': 1, 'z_rotation': 0.6, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:33] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.9, 'pressure': 99624.9, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.5, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:33] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.9, 'pressure': 99625.4, 'x_rotation': 0, 'y_rotation': 0.9, 'z_rotation': 0.6, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:34] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1.1, 'pressure': 99626.6, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.5, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:34] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1, 'pressure': 99626, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.5, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:35] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1.1, 'pressure': 99627, 'x_rotation': 0.1, 'y_rotation': 1, 'z_rotation': 0.6, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:36] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1.2, 'pressure': 99627.9, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.6, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:36] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1, 'pressure': 99625, 'x_rotation': 0, 'y_rotation': 0.9, 'z_rotation': 0.8, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:37] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1, 'pressure': 99626.4, 'x_rotation': 0.1, 'y_rotation': 1, 'z_rotation': 0.6, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:38] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1, 'pressure': 99625.8, 'x_rotation': 0.1, 'y_rotation': 1, 'z_rotation': 0.6, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:38] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.9, 'pressure': 99625, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.5, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:39] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.9, 'pressure': 99625, 'x_rotation': 0.1, 'y_rotation': 1, 'z_rotation': 0.6, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:40] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1, 'pressure': 99625.8, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.5, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:41] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1, 'pressure': 99626.4, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.5, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:11:41] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -1, 'pressure': 99626.2, 'x_rotation': 0, 'y_rotation': 1, 'z_rotation': 0.5, 'temperature': 23.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
