[21/Dec/2025 12:05:36] {'temperature': 23.92, 'altitude': -0.51, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.09, 'y': 0.047, 'x': 0.067}}
[21/Dec/2025 12:05:39] {'temperature': 24.02, 'altitude': -0.54, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.097, 'y': 0.049, 'x': 0.071}}
[21/Dec/2025 12:05:42] {'temperature': 24.1, 'altitude': -1.04, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.084, 'y': 0.05900001, 'x': 0.067}}
[21/Dec/2025 12:05:46] {'temperature': 24.19, 'altitude': -1.37, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.094, 'y': 0.049, 'x': 0.061}}
[21/Dec/2025 12:05:49] {'temperature': 24.27, 'altitude': -0.9599999, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.089, 'y': 0.05900001, 'x': 0.062}}
[21/Dec/2025 12:05:53] {'temperature': 24.37, 'altitude': -0.43, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.083, 'y': 0.053, 'x': 0.069}}
[21/Dec/2025 12:05:57] {'temperature': 24.46, 'altitude': 0.21, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.09, 'y': 0.051, 'x': 0.062}}
[21/Dec/2025 12:06:00] {'temperature': 24.54, 'altitude': 1.51, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.107, 'y': 0.052, 'x': 0.06599999}}
[21/Dec/2025 12:06:04] {'temperature': 24.64, 'altitude': 1.12, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.088, 'y': 0.05, 'x': 0.072}}
[21/Dec/2025 12:06:07] {'temperature': 24.73, 'altitude': 0.4, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.082, 'y': 0.056, 'x': 0.06800001}}
[21/Dec/2025 12:06:10] {'temperature': 24.83, 'altitude': 0.15, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40504, 'acceleration': {'z': 1.089, 'y': 0.054, 'x': 0.067}}
[21/Dec/2025 12:06:14] {'temperature': 24.93, 'altitude': -0.57, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40503, 'acceleration': {'z': 1.088, 'y': 0.055, 'x': 0.065}}
[21/Dec/2025 12:06:17] {'temperature': 25.01, 'altitude': -0.86, 'voltage': 0, 'latitude': 38.83595, 'longitude': -77.40503, 'acceleration': {'z': 1.091, 'y': 0.053, 'x': 0.069}}
[21/Dec/2025 12:06:21] {'temperature': 25.09, 'altitude': -1, 'voltage': 0, 'latitude': 38.83596, 'longitude': -77.40502, 'acceleration': {'z': 1.099, 'y': 0.056, 'x': 0.07}}
[21/Dec/2025 12:06:41] {'temperature': 25.54, 'altitude': -1.9, 'voltage': 0, 'latitude': 38.83594, 'longitude': -77.40504, 'acceleration': {'z': 1.09, 'y': 0.048, 'x': 0.069}}
[21/Dec/2025 12:06:45] {'temperature': 25.61, 'altitude': -1.8, 'voltage': 0, 'latitude': 38.83593, 'longitude': -77.40504, 'acceleration': {'z': 1.095, 'y': 0.052, 'x': 0.06599999}}
